rank,player,points
1,207989,6815
2,106421,6330
3,104925,5955
4,134770,4915
5,126774,4775
6,208029,4375
7,126094,4270
8,206173,3435
9,126203,3390
10,200000,3065
11,111575,2945
12,126207,2790
13,128034,2525
14,111815,2520
15,104745,2445
16,106432,2410
17,126205,2135
18,207518,2040
19,200282,1870
20,126610,1832
21,105807,1740
22,105227,1510
23,105138,1485
24,105554,1480
25,106401,1465
26,105526,1447
27,100644,1360
28,202103,1345
29,200624,1265
30,122298,1215
31,133430,1210
32,106415,1181
33,105777,1125
34,200221,1115
35,210097,1095
36,200175,1055
37,126523,1041
38,200005,1026
39,134868,1024
40,208103,994
41,104918,975
42,202195,975
43,200325,956
44,202104,955
45,132283,925
46,144869,920
47,105173,917
48,122330,915
49,200670,905
50,104755,901
51,105583,899
52,206909,877
53,144707,876
54,111797,862
55,106296,846
56,111456,845
57,111513,845
58,106148,841
59,200059,839
60,207733,832
61,144895,823
62,106234,818
63,106398,793
64,105870,791
65,126127,783
66,105077,782
67,126845,781
68,106186,777
69,106005,769
70,111190,740
71,111442,737
72,127157,733
73,106065,733
74,106218,730
75,111153,729
76,132686,727
77,144719,725
78,126239,725
79,209414,725
80,105916,720
81,144817,719
82,200615,707
83,144684,705
84,207686,703
85,106331,702
86,125802,696
87,111460,686
88,104527,684
89,104545,675
90,123755,671
91,106233,666
92,105936,661
93,106043,660
94,105948,656
95,126846,654
96,106329,652
97,122669,648
98,126128,647
99,202385,640
100,124186,639
101,126952,624
102,136440,620
103,127339,618
104,207678,601
105,208286,592
106,106426,588
107,106423,587
108,200384,580
109,105902,571
110,106121,566
111,105430,564
112,209950,559
113,105676,550
114,206499,545
115,206681,543
116,208502,541
117,105877,537
118,124116,534
119,202261,528
120,106214,521
121,200303,520
122,126409,518
123,111581,517
124,105487,511
125,200436,510
126,133297,507
127,207830,499
128,208859,499
129,206748,478
130,104926,468
131,200267,467
132,105613,457
133,127760,454
134,200514,452
135,124079,448
136,208014,442
137,207680,441
138,133835,435
139,106045,433
140,106281,433
141,134840,426
142,209209,424
143,106075,422
144,109739,419
145,144642,415
146,209113,412
147,207608,412
148,131934,410
149,105332,398
150,200116,392
151,208134,392
152,126214,391
153,202058,390
154,111187,387
155,111200,384
156,111505,380
157,126646,380
158,105577,379
159,207925,378
160,106198,375
